coordinate	B6	C3	B6C3F1	C3B6F1
chr1:3000574	32	25	26	29
chr1:3000726	9	2	7	4
chr1:3000901	9	7	7	5
chr1:3001346	19	15	14	18
chr1:3001394	21	17	17	16
chr1:3001631	16	17	17	18
chr1:3002177	21	7	11	10
chr1:3002338	31	24	20	26
chr1:3002386	27	27	21	22
chr1:3002599	15	17	15	22
chr1:3002921	20	15	13	18
chr1:3003553	15	15	12	12
chr1:3003601	21	24	23	26
chr1:3003660	18	21	21	22
chr1:3004013	8	8	7	11
chr1:3004613	37	33	27	36
chr1:3004636	29	28	22	31
chr1:3004682	23	29	19	27
chr1:3004692	22	28	23	28
chr1:3004780	21	25	16	21
chr1:3004822	17	22	13	19
chr1:3004855	9	8	7	7
chr1:3005055	22	17	19	17
chr1:3005149	27	23	20	20
chr1:3005205	36	34	34	35
chr1:3005535	25	36	27	29
chr1:3005766	30	31	30	32
chr1:3005847	34	31	27	35
chr1:3005928	23	29	22	26
chr1:3006065	24	26	25	30
chr1:3006187	16	17	13	14
chr1:3006296	26	39	29	44
chr1:3006365	13	11	10	11
chr1:3006478	26	28	28	28
chr1:3006702	32	29	26	33
chr1:3006759	11	16	10	15
chr1:3006788	33	32	30	33
chr1:3006806	28	31	26	28
chr1:3007009	16	23	23	22
chr1:3007328	22	21	18	22
chr1:3007526	18	14	16	21
chr1:3007590	21	19	15	14
chr1:3007817	23	17	19	18
chr1:3008573	18	21	15	17
chr1:3008680	24	22	20	18
chr1:3009073	27	23	28	26
chr1:3009102	26	18	24	26
chr1:3009413	19	11	14	16
chr1:3010001	30	26	24	27
chr1:3010116	22	24	29	27
chr1:3010225	27	28	25	29
chr1:3010413	20	21	22	22
chr1:3010477	19	19	17	20
chr1:3010713	12	19	16	17
chr1:3010770	19	27	24	22
chr1:3010805	20	25	23	19
chr1:3010875	13	21	16	17
chr1:3010895	17	24	19	21
chr1:3010923	14	21	16	15
chr1:3010958	20	24	18	14
chr1:3010972	19	23	17	14
chr1:3011026	17	19	16	15
chr1:3011052	18	22	19	18
chr1:3011068	24	28	27	22
chr1:3011093	22	29	26	22
chr1:3011106	23	31	26	23
chr1:3011158	32	33	27	32
chr1:3011426	32	32	35	35
chr1:3011481	26	24	23	29
chr1:3011801	27	26	19	21
chr1:3012097	27	31	29	33
chr1:3012123	21	22	19	21
chr1:3012266	29	33	26	28
chr1:3012319	28	33	28	26
chr1:3012618	23	24	22	25
chr1:3012651	35	29	29	33
chr1:3012661	33	24	27	30
chr1:3013156	36	38	30	31
chr1:3013939	27	25	19	28
chr1:3013970	27	29	30	27
chr1:3015088	37	41	42	35
chr1:3015367	11	14	12	10
chr1:3015431	26	26	28	25
chr1:3015617	19	22	21	21
chr1:3016268	26	33	27	30
chr1:3016359	17	13	13	15
chr1:3016391	11	9	11	12
chr1:3016494	39	29	27	38
chr1:3016501	39	29	28	40
chr1:3016945	8	10	7	8
chr1:3016964	11	13	11	11
chr1:3016976	9	10	9	12
chr1:3017007	11	10	11	14
chr1:3017010	10	12	10	13
chr1:3017017	9	12	8	14
chr1:3017050	13	17	13	19
chr1:3017098	17	21	17	22
chr1:3017110	19	19	17	26
chr1:3017115	16	16	14	22
chr1:3017156	14	10	12	16
chr1:3017161	17	10	11	17
chr1:3017172	15	7	11	14
chr1:3017183	14	4	7	11
chr1:3017187	12	4	7	11
chr1:3017225	13	11	6	11
chr1:3017479	12	14	8	11
chr1:3017595	20	23	20	19
chr1:3017735	25	27	21	20
chr1:3018463	44	50	38	43
chr1:3018490	42	46	35	39
chr1:3019125	20	19	18	16
chr1:3019129	19	18	17	13
chr1:3019175	18	17	15	20
chr1:3019186	18	15	16	19
chr1:3019310	28	31	23	23
chr1:3020115	27	29	21	28
chr1:3020180	22	23	18	23
chr1:3020220	20	20	18	20
chr1:3021924	31	30	27	31
chr1:3022943	9	10	10	12
chr1:3023193	13	12	18	13
chr1:3023793	27	30	22	26
chr1:3023958	26	27	27	28
chr1:3024108	28	22	21	24
chr1:3024272	28	23	24	26
chr1:3024552	22	16	13	14
chr1:3024727	20	21	13	19
chr1:3025257	19	13	18	17
chr1:3025723	12	13	7	10
chr1:3025782	28	29	21	23
chr1:3025892	21	25	18	26
chr1:3025914	19	19	12	20
chr1:3025936	23	26	14	28
chr1:3025944	19	21	14	23
chr1:3026008	24	23	14	24
chr1:3026252	37	23	27	26
chr1:3026299	29	17	20	24
chr1:3026327	32	25	21	32
chr1:3027360	22	24	19	23
chr1:3027820	29	23	21	21
chr1:3027829	27	25	21	19
chr1:3027874	19	20	19	19
chr1:3027883	16	20	19	16
chr1:3027901	15	15	16	16
chr1:3027906	20	18	19	19
chr1:3027908	16	16	17	12
chr1:3027926	21	15	18	20
chr1:3027934	24	17	17	18
chr1:3027936	24	18	18	19
chr1:3027943	24	20	18	20
chr1:3027950	21	18	16	18
chr1:3027991	19	18	15	20
chr1:3027995	19	17	16	19
chr1:3028018	18	16	15	20
chr1:3028021	18	13	13	18
chr1:3028030	15	14	13	20
chr1:3028075	21	18	17	19
chr1:3028102	15	12	12	13
chr1:3028107	24	18	17	19
chr1:3028135	25	21	18	20
chr1:3028169	23	26	19	25
chr1:3028204	20	26	14	22
chr1:3028872	15	22	22	15
chr1:3028942	23	29	25	27
chr1:3029025	16	23	21	21
chr1:3029033	20	25	23	23
chr1:3029201	10	4	13	11
chr1:3029452	18	21	17	13
chr1:3029484	16	14	15	10
chr1:3029533	17	5	10	9
chr1:3029863	29	32	30	32
chr1:3029873	29	29	27	29
chr1:3030032	21	19	17	20
chr1:3030094	33	23	33	36
chr1:3030552	24	16	15	16
chr1:3030636	34	27	23	27
chr1:3030712	16	15	13	14
chr1:3030908	5	7	5	5
chr1:3031049	19	19	14	14
chr1:3031240	22	28	23	25
chr1:3031267	25	30	21	28
chr1:3031274	25	33	23	29
chr1:3031318	22	29	19	28
chr1:3031355	10	13	6	11
chr1:3031664	13	10	12	12
chr1:3031801	19	10	17	17
chr1:3031936	14	18	15	13
