ID	86F_Ratio	119F_Ratio	153F_Ratio	171F_Ratio
cg06193439	9.799893152	10.49782317	11.05072361	3.386559475
cg06193520	1.517718056	1.568189322	1.100878016	0.487841098
cg06193578	0.170267835	0.270378549	0.208387911	0.373011269
cg06193597	3.240138666	3.136315379	13.70257787	0.083048311
cg06193628	1.664956874	2.450886301	1.287765426	0.312277571
cg06193633	0.044237483	0.046646757	0.023064635	2.098086036
cg06193668	21.07303967	18.97337597	41.47267756	1.279982227
cg06193723	0.0819276	0.051049253	0.069229055	0.017990515
cg06193766	0.194317353	0.257025038	0.182509019	0.135161587
cg06193775	0.035794183	0.022270426	0.017971468	0.0728621
cg06193838	4.511215541	3.956809634	3.984895053	1.293614582
cg06193958	0.126698665	0.146953045	0.297301567	0.142296396
cg06193988	0.081270356	0.092089	0.100299003	0.313469432
cg06193995	1.409993386	1.336927486	1.945618484	44.46188913
cg06194003	15.52380983	43.64947629	47.86138411	8.312785343
cg06194010	19.62903922	11.07618763	17.95321773	0.687784123
cg06194026	0.025810322	0.02852516	0.061295816	0.056094323
cg06194070	1.842835866	1.561910306	2.023166463	1.147809971
cg06194119	0.033811122	0.033317593	0.036799642	0.433572475
cg06194186	6.679286367	7.874479815	10.36327007	0.238461254
cg06194421	0.083874249	0.078525135	0.029431692	0.096311534
cg06194479	0.016073071	0.02987385	0.015598466	0.015627896
cg06194536	0.067913498	0.065652994	0.031500965	0.548354956
cg06194602	6.555434822	5.681782154	5.253356437	1.950313871
cg06194738	3.681198189	2.963068986	3.158854712	3.001098307
cg06194808	1.156367451	1.05731115	1.140449024	0.542922041
cg06194809	0.576128186	0.656513769	0.697724359	2.580039033
cg06194885	3.002252829	3.030092603	3.040452036	1.650493886
cg06194960	2.226028527	2.772166284	2.142635546	2.042333887
cg06194982	0.224846359	0.214731011	0.212935753	0.101634713
cg06195157	0.039523829	0.039006612	0.047547531	0.051277238
cg06195193	1.60784732	1.166954068	1.545455695	1.451721091
cg06195280	0.523727594	0.640408452	0.486518305	0.997954271
cg06195293	4.154634658	3.46556083	3.919844481	18.87464926
cg06195379	#DIV/0!	2.950370647	3.610790581	1.153371688
cg06195525	0.029839166	0.144718559	0.108139615	0.046197718
cg06195595	0.072824197	0.074041315	0.083188141	0.0425691
cg06195829	0.044411515	0.046715367	0.084144799	0.072942917
cg06195987	0.109726479	0.102070062	0.065250717	0.073753881
cg06196122	0.033960134	0.047879804	0.072926509	0.118057065
cg06196145	0.058906249	0.075576984	0.094943574	0.011648092
cg06196147	0.042463217	0.040171719	0.066201958	0.03998661
cg06196161	0.007467606	0.017617959	0.001856435	0.065454551
cg06196314	9.986261772	8.036847214	12.99219592	0.464400336
cg06196379	0.428472841	0.436003791	0.49516354	3.016401693
cg06196466	16.41694324	12.60809477	9.384475739	3.323977983
cg06196636	1.414694965	1.167649428	1.473974195	25.55219035
cg06196689	29.72824269	10.4480687	19.05933942	0.448749244
cg06196755	0.073937241	0.075262481	0.083206274	0.107999996
cg06196801	0.04316765	0.034111833	0.017888897	0.111524113
cg06196828	1.030423775	1.652301027	0.903997906	6.840904626
cg06196926	20.77105633	13.73130473	40.75034003	0.274459947
cg06196978	0.010180005	0.012671248	0.007342716	0.070030288
cg06196984	4.334690007	5.447419763	3.46586036	0.490855148
cg06197006	0.020915501	0.037036414	0.049621591	0.217745626
cg06197024	7.962493565	5.263091964	6.552536928	11.09071639
cg06197043	9.505706169	9.878591475	8.207143164	2.164930257
cg06197074	1.42126455	1.436084043	2.049055695	0.843316097
cg06197114	0.062835878	0.059456018	0.127031553	0.020340795
cg06197191	0.06695282	0.060102762	0.079755589	2.035024638
cg06197360	11.2730484	9.298742733	11.93500544	0.254298089
cg06197372	0.031576934	0.035666922	0.051025824	0.067255961
cg06197377	0.071706725	0.126734466	0.091333371	0.179154914
cg06197482	0.046148546	0.069904092	0.082931581	0.03216282
cg06197492	0.853227283	1.303941099	0.727909867	0.361896346
cg06197503	0.049459975	0.068167597	0.086005517	1.547947296
cg06197571	20.62213662	17.6641511	14.17912445	3.56232346
cg06197574	0.043577049	0.045854026	0.025870627	0.06074133
cg06197616	1.542564481	1.830821274	2.341945117	4.200562815
cg06197731	4.855449153	4.714946027	6.173730616	1.171884372
cg06197751	2.656098188	2.253581096	2.556244123	33.49718323
cg06197760	45.15744186	18.74318984	39.6098907	2.295384001
cg06197769	0.046346381	0.054290864	0.05708698	0.016598418
cg06197774	0.198120072	0.211966226	0.079547564	7.034962865
cg06197789	22.9629771	15.82351943	14.70028135	1.641502859
cg06197811	10.59001184	10.05287938	16.95935272	0.283779817
cg06197836	0.891664784	0.938385433	1.046826756	42.56725351
cg06197870	4.368042394	8.226661772	10.14188119	5.628966178
cg06197930	21.37185177	13.8600732	19.79282648	1.069053186
cg06197966	0.056075579	0.085061459	0.056758893	0.062660368
