coordinate	Pct B6_M_1	Pct C3_M_1	Pct B6C3F1_M_1	Pct C3B6F1_M_1
chr1:4545409	0.96969697	0.909090909	1	0.92
chr1:4545545	0.875	1	0.96875	0.926829268
chr1:4545569	0.903225806	0.96	1	1
chr1:4545579	1	0.928571429	0.96875	0.958333333
chr1:4545748	0.944444444	0.971428571	0.95	0.96969697
chr1:4545877	0.933333333	0.931818182	0.918918919	0.825
chr1:4546024	0.771428571	0.813953488	0.783783784	0.72972973
chr1:4546731	1	0.888888889	0.944444444	0.965517241
chr1:4546913	1	0.870967742	0.888888889	0.956521739
chr1:4547000	0.882352941	1	0.888888889	0.933333333
chr1:4557856	0.897435897	0.916666667	1	1
chr1:4558065	1	0.857142857	0.952380952	0.947368421
chr1:4558251	0.952380952	1	1	1
chr1:4558256	0.902439024	1	0.972972973	0.953488372
chr1:4558401	1	1	0.916666667	1
chr1:4558584	0.885714286	0.725	0.777777778	0.730769231
chr1:4559040	0.918918919	0.947368421	0.888888889	0.967741935
chr1:4559053	0.973684211	0.736842105	1	0.939393939
chr1:4559055	0.972222222	1	0.962962963	0.96969697
chr1:4559211	0.916666667	1	0.833333333	0.96969697
chr1:4559216	0.952380952	1	1	0.90625
chr1:4559226	0.952380952	0.882352941	0.888888889	0.942857143
chr1:4559336	0.956521739	1	0.954545455	1
chr1:4559496	1	0.9375	1	1
chr1:4559695	0.952380952	1	1	1
chr1:4559875	0.92	1	0.9375	0.928571429
chr1:4560188	1	0.967741935	1	0.947368421
chr1:4560350	0.923076923	0.962962963	0.913043478	0.966666667
chr1:4560655	1	1	1	1
chr1:4560660	0.967741935	0.894736842	0.947368421	0.974358974
chr1:4560853	0.863636364	0.771428571	0.741935484	0.88
chr1:4560903	0.627906977	0.833333333	0.722222222	0.875
chr1:4560972	0.396226415	0.238095238	0.166666667	0.179487179
chr1:4561145	0.266666667	0.413793103	0.291666667	0.405405405
chr1:4561360	0.914285714	0.9	0.9	0.92
chr1:4561535	0.108108108	0.222222222	0.107142857	0.1875
chr1:4561570	0.027777778	0.041666667	0	0.064516129
chr1:4561642	0.096774194	0.166666667	0	0.08
chr1:4561660	0.034482759	0.090909091	0	0.08
chr1:4561677	0	0	0	0
chr1:4561699	0	0	0	0
chr1:4561723	0	0	0.066666667	0
chr1:4561728	0.037037037	0.066666667	0	0.086956522
chr1:4561736	0	0	0	0
chr1:4561770	0	0	0	0
chr1:4561783	0	0	0	0
chr1:4561788	0	0	0.05	0.047619048
chr1:4561791	0	0	0.052631579	0
chr1:4561795	0	0	0	0
chr1:4561802	0	0	0	0
chr1:4561816	0	0	0	0
chr1:4561818	0	0	0	0
chr1:4561836	0	0	0	0
chr1:4561838	0	0	0	0
chr1:4561840	0	0	0	0.052631579
chr1:4561852	0	0	0	0
chr1:4561854	0	0	0	0
chr1:4561863	0	0	0	0
chr1:4561884	0	0	0	0.052631579
chr1:4561887	0	0	0.076923077	0
chr1:4561889	0	0	0	0
chr1:4561892	0	0	0	0.047619048
chr1:4561896	0	0	0	0.045454545
chr1:4561905	0	0	0	0
chr1:4561908	0	0.076923077	0	0
chr1:4561913	0	0	0	0
chr1:4561915	0.043478261	0	0	0
chr1:4561921	0	0	0	0
chr1:4561924	0	0	0	0
chr1:4561939	0	0	0	0
chr1:4561964	0	0	0	0
chr1:4561971	0	0	0	0
chr1:4561973	0	0	0	0
chr1:4561975	0	0	0	0
chr1:4561985	0	0	0	0
chr1:4561995	0	0	0	0
chr1:4562005	0	0	0	0
chr1:4562025	0	0	0	0
chr1:4562031	0	0	0	0
chr1:4562033	0.066666667	0	0	0
chr1:4562039	0	0	0	0
chr1:4562051	0	0	0	0
chr1:4562081	0	0	0	0
chr1:4562097	0	0	0	0
chr1:4562104	0.05	0	0	0
chr1:4562112	0	0	0	0
chr1:4562121	0	0.045454545	0	0
chr1:4562147	0.043478261	0	0	0
chr1:4562153	0.047619048	0	0	0
chr1:4562155	0	0	0.095238095	0
chr1:4562185	0	0.090909091	0	0
chr1:4562235	0.111111111	0.125	0.086956522	0.041666667
chr1:4562245	0	0.034482759	0.185185185	0.035714286
chr1:4562310	0.238095238	0.147058824	0.214285714	0.111111111
chr1:4562329	0.086956522	0.057142857	0.136363636	0.064516129
chr1:4562436	0.842105263	0.913043478	0.956521739	0.8
chr1:4562570	0.863636364	0.857142857	0.769230769	0.785714286
chr1:4562614	0.823529412	0.655172414	0.826086957	0.666666667
chr1:4563309	0.836363636	0.811320755	0.807692308	0.823529412
chr1:4563870	1	0.8	0.8	0.769230769
